id,name,description,category,latitude,longitude,source,source_url,tags,prefecture
overpass-0001,荒幡富士,,walking,35.7739749,139.4459221,overpass,https://www.openstreetmap.org/node/296856918,,tokyo
overpass-0002,スカイガーデン,,meditation,35.4547727,139.6313256,overpass,https://www.openstreetmap.org/node/304566283,fee,kanagawa
overpass-0003,ガリバー山,,walking,35.6161145,139.4194902,overpass,https://www.openstreetmap.org/node/312522057,,tokyo
overpass-0004,浅間山,ja:浅間山 (東京都),walking,35.681265,139.5024655,overpass,https://www.openstreetmap.org/node/315737039,,tokyo
overpass-0005,天覧山,ja:天覧山,walking,35.8620377,139.308305,overpass,https://www.openstreetmap.org/node/323812061,,tokyo
overpass-0006,多峰主山,ja:多峰主山,walking,35.8681228,139.2979421,overpass,https://www.openstreetmap.org/node/338877338,,tokyo
overpass-0007,荒神山,,walking,35.3891647,139.6061384,overpass,https://www.openstreetmap.org/node/347520642,,kanagawa
overpass-0008,塔ノ岳,ja:塔ノ岳,walking,35.4540704,139.163317,overpass,https://www.openstreetmap.org/node/357416162,,kanagawa
overpass-0009,三ノ塔,ja:三ノ塔,walking,35.4365712,139.1915566,overpass,https://www.openstreetmap.org/node/357416170,,kanagawa
overpass-0010,二ノ塔,,walking,35.4340378,139.1955383,overpass,https://www.openstreetmap.org/node/357416184,,kanagawa
overpass-0011,新大日,ja:新大日,walking,35.4516605,139.1767694,overpass,https://www.openstreetmap.org/node/363527561,,kanagawa
overpass-0012,行者岳,ja:行者岳,walking,35.4454069,139.1822317,overpass,https://www.openstreetmap.org/node/363527591,,kanagawa
overpass-0013,烏尾山,ja:烏尾山,walking,35.439582,139.185487,overpass,https://www.openstreetmap.org/node/363527617,,kanagawa
overpass-0014,桜山展望台,,meditation,35.8234486,139.3449473,overpass,https://www.openstreetmap.org/node/365787022,cherry_blossom,tokyo
overpass-0015,Lakeside Observation Building,,meditation,35.1962174,139.0260842,overpass,https://www.openstreetmap.org/node/391237969,wheelchair,kanagawa
overpass-0016,子の山,,walking,35.9072981,139.1888835,overpass,https://www.openstreetmap.org/node/409503611,,tokyo
overpass-0017,浅間山,,walking,35.322111,139.3123404,overpass,https://www.openstreetmap.org/node/494831701,,kanagawa
overpass-0018,高麗山,ja:高麗山,walking,35.3229076,139.3214142,overpass,https://www.openstreetmap.org/node/494831767,,kanagawa
overpass-0019,湘南平,ja:湘南平,walking,35.3198696,139.3087418,overpass,https://www.openstreetmap.org/node/494831838,,kanagawa
overpass-0020,鷹取山,,walking,35.3293164,139.2753593,overpass,https://www.openstreetmap.org/node/496053593,,kanagawa
overpass-0021,日和田山,ja:日和田山,walking,35.893764,139.3048509,overpass,https://www.openstreetmap.org/node/509903560,,tokyo
overpass-0022,物見山,,walking,35.9032886,139.2937056,overpass,https://www.openstreetmap.org/node/509903681,,tokyo
overpass-0023,雲取山,東京都最高峰,walking,35.8555351,138.9439287,overpass,https://www.openstreetmap.org/node/531000790,,tokyo
overpass-0024,飯室山,,walking,35.6124965,139.5625482,overpass,https://www.openstreetmap.org/node/538944387,,tokyo
overpass-0025,枡形山,,walking,35.6111218,139.5605655,overpass,https://www.openstreetmap.org/node/538944991,,tokyo
overpass-0026,フランス山,,walking,35.4411829,139.6535072,overpass,https://www.openstreetmap.org/node/610953772,,kanagawa
overpass-0027,大丸山,横浜市最高峰,walking,35.3462081,139.5894234,overpass,https://www.openstreetmap.org/node/611629159,,kanagawa
overpass-0028,妙音沢(Myouon Zawa),,meditation,35.7764083,139.5762697,overpass,https://www.openstreetmap.org/node/631463070,,tokyo
overpass-0029,大山,ja:大山 (神奈川県),walking,35.4408317,139.2313338,overpass,https://www.openstreetmap.org/node/648765094,,kanagawa
overpass-0030,高尾山,ja:高尾山,walking,35.6252267,139.2436878,overpass,https://www.openstreetmap.org/node/675449030,,tokyo
overpass-0031,金比羅台,,meditation,35.6355018,139.2617795,overpass,https://www.openstreetmap.org/node/702326976,,tokyo
overpass-0032,大菩薩嶺,ja:大菩薩嶺,walking,35.7487175,138.8454802,overpass,https://www.openstreetmap.org/node/705063479,,tokyo
overpass-0033,大塚山,,walking,35.7924885,139.1468712,overpass,https://www.openstreetmap.org/node/724150165,,tokyo
overpass-0034,Kaze-no-oka Overlook,,meditation,35.4972625,139.5232323,overpass,https://www.openstreetmap.org/node/734220423,,kanagawa
overpass-0035,鋸山,ja:鋸山 (千葉県),walking,35.1585708,139.828853,overpass,https://www.openstreetmap.org/node/760291649,,tokyo
overpass-0036,しだれ柳,往時の平潟道の名残,meditation,35.7874997,139.8951449,overpass,https://www.openstreetmap.org/node/771342043,,tokyo
overpass-0037,香貫山展望台,,meditation,35.0918612,138.8756948,overpass,https://www.openstreetmap.org/node/777523388,,kanagawa
overpass-0038,横山,ja:横山 (静岡県),walking,35.0876078,138.8892405,overpass,https://www.openstreetmap.org/node/777655819,,kanagawa
overpass-0039,徳倉山,ja:徳倉山,walking,35.0784644,138.8884239,overpass,https://www.openstreetmap.org/node/777685253,,kanagawa
